iter	Passed	Remaining
541	3414	2885
542	3421	2879
543	3428	2874
544	3435	2868
545	3443	2862
546	3451	2858
547	3459	2853
548	3466	2847
549	3473	2841
550	3480	2836
551	3487	2830
552	3496	2825
553	3503	2820
554	3509	2814
555	3516	2808
556	3523	2802
557	3530	2796
558	3536	2790
559	3542	2783
560	3547	2775
561	3554	2769
562	3560	2763
563	3567	2758
564	3574	2751
565	3580	2745
566	3587	2739
567	3594	2733
568	3599	2726
569	3606	2720
570	3612	2714
571	3620	2708
572	3627	2703
573	3635	2697
574	3642	2691
575	3649	2686
576	3655	2680
577	3662	2673
578	3668	2667
579	3675	2661
580	3682	2655
581	3688	2649
582	3695	2643
583	3702	2637
584	3708	2631
585	3715	2624
586	3721	2618
587	3729	2613
588	3736	2607
589	3744	2602
590	3751	2596
591	3758	2590
592	3764	2583
593	3773	2578
594	3782	2574
595	3790	2569
596	3796	2562
597	3802	2555
598	3809	2549
599	3815	2543
600	3823	2538
601	3829	2531
602	3836	2525
603	3843	2520
604	3849	2513
605	3855	2506
606	3861	2500
607	3868	2494
608	3874	2487
609	3881	2481
610	3887	2475
611	3893	2468
612	3900	2462
613	3907	2456
614	3913	2450
615	3921	2444
616	3927	2438
617	3934	2432
618	3942	2426
619	3950	2421
620	3956	2414
621	3963	2408
622	3969	2402
623	3976	2396
624	3982	2389
625	3989	2383
626	3997	2378
627	4005	2372
628	4013	2366
629	4021	2361
630	4029	2356
631	4036	2350
632	4044	2344
633	4053	2340
634	4062	2334
635	4072	2330
636	4083	2327
637	4092	2322
638	4099	2316
639	4108	2310
640	4115	2304
641	4122	2298
642	4129	2292
643	4136	2286
644	4144	2281
645	4150	2274
646	4158	2268
647	4165	2262
648	4172	2256
649	4179	2250
650	4186	2244
651	4193	2238
652	4200	2232
653	4207	2225
654	4214	2219
655	4221	2213
656	4228	2207
657	4234	2201
658	4241	2194
659	4248	2188
660	4254	2182
661	4261	2175
662	4266	2168
663	4272	2162
664	4279	2155
665	4285	2149
666	4292	2142
667	4298	2136
668	4303	2129
669	4310	2123
670	4316	2116
671	4323	2110
672	4330	2103
673	4336	2097
674	4342	2091
675	4348	2084
676	4354	2077
677	4360	2071
678	4366	2064
679	4372	2057
680	4379	2051
681	4385	2044
682	4391	2038
683	4397	2031
684	4404	2025
685	4410	2018
686	4416	2012
687	4422	2005
688	4429	1999
689	4435	1992
690	4441	1986
691	4448	1979
692	4455	1973
693	4460	1966
694	4468	1960
695	4474	1954
696	4482	1948
697	4488	1942
698	4495	1935
699	4502	1929
700	4508	1923
701	4516	1917
702	4523	1910
703	4529	1904
704	4536	1898
705	4543	1892
706	4550	1885
707	4557	1879
708	4564	1873
709	4571	1867
710	4577	1860
711	4584	1854
712	4591	1848
713	4599	1842
714	4605	1835
715	4612	1829
716	4619	1823
717	4628	1817
718	4634	1811
719	4642	1805
720	4649	1799
721	4656	1793
722	4663	1786
723	4671	1780
724	4678	1774
725	4687	1769
726	4694	1762
727	4700	1756
728	4707	1749
729	4713	1743
730	4721	1737
731	4727	1730
732	4733	1724
733	4740	1717
734	4747	1711
735	4754	1705
736	4761	1699
737	4769	1693
738	4777	1687
739	4783	1680
740	4790	1674
741	4798	1668
742	4805	1662
743	4812	1655
744	4819	1649
745	4827	1643
746	4834	1637
747	4842	1631
748	4849	1625
749	4856	1618
750	4863	1612
751	4871	1606
752	4878	1600
753	4887	1594
754	4894	1588
755	4902	1582
756	4910	1576
757	4917	1570
758	4925	1563
759	4933	1557
760	4940	1551
761	4947	1545
762	4954	1539
763	4961	1532
764	4967	1526
765	4974	1519
766	4981	1513
767	4987	1506
768	4994	1500
769	5001	1493
770	5007	1487
771	5014	1480
772	5020	1474
773	5026	1467
774	5032	1461
775	5038	1454
776	5044	1447
777	5051	1441
778	5058	1435
779	5064	1428
780	5071	1422
781	5078	1415
782	5085	1409
783	5091	1402
784	5096	1395
785	5103	1389
786	5109	1382
787	5115	1376
788	5121	1369
789	5127	1363
790	5133	1356
791	5139	1349
792	5145	1343
793	5151	1336
794	5157	1329
795	5163	1323
796	5169	1316
797	5175	1310
798	5181	1303
799	5188	1297
800	5194	1290
801	5201	1284
802	5207	1277
803	5213	1270
804	5219	1264
805	5225	1257
806	5231	1251
807	5237	1244
808	5242	1237
809	5249	1231
810	5257	1225
811	5264	1218
812	5270	1212
813	5277	1205
814	5283	1199
815	5289	1192
816	5295	1186
817	5302	1179
818	5308	1173
819	5314	1166
820	5320	1159
821	5326	1153
822	5332	1146
823	5338	1140
824	5345	1133
825	5350	1127
826	5356	1120
827	5362	1114
828	5368	1107
829	5374	1100
830	5379	1094
831	5385	1087
832	5393	1081
833	5399	1074
834	5406	1068
835	5412	1061
836	5419	1055
837	5427	1049
838	5435	1043
839	5441	1036
840	5448	1030
841	5454	1023
842	5461	1017
843	5468	1010
844	5475	1004
845	5485	998
846	5491	991
847	5497	985
848	5504	978
849	5511	972
850	5518	966
851	5526	959
852	5532	953
853	5539	947
854	5545	940
855	5553	934
856	5560	927
857	5567	921
858	5574	915
859	5581	908
860	5589	902
861	5596	895
862	5603	889
863	5610	883
864	5617	876
865	5624	870
866	5630	863
867	5637	857
868	5643	850
869	5650	844
870	5655	837
871	5661	831
872	5668	824
873	5675	818
874	5682	811
875	5688	805
876	5695	798
877	5701	792
878	5708	785
879	5714	779
880	5724	773
881	5731	766
882	5738	760
883	5742	753
884	5746	746
885	5752	740
886	5759	733
887	5765	727
888	5770	720
889	5776	713
890	5783	707
891	5789	700
892	5795	694
893	5801	687
894	5807	681
895	5813	674
896	5818	668
897	5824	661
898	5829	654
899	5835	648
900	5841	641
901	5848	635
902	5853	628
903	5859	622
904	5865	615
905	5871	609
906	5877	602
907	5882	596
908	5889	589
909	5896	583
910	5902	576
911	5908	570
912	5914	563
913	5920	557
914	5926	550
915	5933	544
916	5939	537
917	5946	531
918	5952	524
919	5958	518
920	5965	511
921	5971	505
922	5979	498
923	5986	492
924	5993	485
925	6000	479
926	6007	473
927	6014	466
928	6021	460
929	6028	453
930	6035	447
931	6043	440
932	6051	434
933	6058	428
934	6069	421
935	6078	415
936	6087	409
937	6096	402
938	6103	396
939	6112	390
940	6120	383
941	6128	377
942	6136	370
943	6145	364
944	6153	358
945	6161	351
946	6169	345
947	6176	338
948	6183	332
949	6190	325
950	6197	319
951	6204	312
952	6211	306
953	6218	299
954	6226	293
955	6234	286
956	6241	280
957	6248	273
958	6256	267
959	6263	260
960	6270	254
961	6277	247
962	6284	241
963	6290	234
964	6296	228
965	6303	221
966	6310	215
967	6316	208
968	6323	202
969	6330	195
970	6337	189
971	6343	182
972	6350	176
973	6356	169
974	6363	163
975	6372	156
976	6380	150
977	6387	143
978	6395	137
979	6402	130
980	6409	124
981	6418	117
982	6425	111
983	6432	104
984	6439	98
985	6446	91
986	6453	84
987	6459	78
988	6465	71
989	6471	65
990	6477	58
991	6484	52
992	6491	45
993	6496	39
994	6503	32
995	6509	26
996	6516	19
997	6522	13
998	6529	6
999	6536	0
